epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2890.23,1.02008,0.97257,1.17137,0.42524,0.4135,0.42613,0.24102,1.70511,2.45816,1.71786,0.000990365,0.000990365,0.000990365
43,2927.09,1.0741,0.98669,1.17978,0.29662,0.40885,0.26682,0.15684,1.62997,2.62483,1.6807,0.000973861,0.000973861,0.000973861
44,2967.71,1.13806,1.01362,1.21255,0.44629,0.3875,0.36066,0.23756,1.60049,2.30816,1.64734,0.000957358,0.000957358,0.000957358
45,3005.86,1.07612,0.94068,1.16848,0.54297,0.59292,0.57531,0.40406,1.74976,2.34328,1.79866,0.000940855,0.000940855,0.000940855
46,3043.29,1.06507,0.95757,1.17608,0.61204,0.60099,0.65166,0.37372,1.7284,2.2358,1.68495,0.000924352,0.000924352,0.000924352
47,3086.8,1.0989,0.96051,1.19952,0.78519,0.45625,0.55851,0.32859,1.71162,2.2216,1.68282,0.000907848,0.000907848,0.000907848
48,3128.79,1.0334,0.93743,1.18719,0.43948,0.45625,0.45304,0.26905,1.87984,2.08652,1.89618,0.000891345,0.000891345,0.000891345
49,3173.97,1.04731,0.93057,1.17235,0.7598,0.35625,0.45639,0.24798,1.83682,2.25937,1.84264,0.000874842,0.000874842,0.000874842
50,3217.4,1.07133,0.92744,1.17294,0.71484,0.325,0.43722,0.25617,1.99724,2.29676,1.94113,0.000858338,0.000858338,0.000858338
51,3262.12,0.99905,0.86001,1.12418,0.62656,0.39375,0.45449,0.19014,1.79143,2.45636,1.75502,0.000841835,0.000841835,0.000841835
52,3304.98,1.02797,0.89512,1.14623,0.4345,0.5875,0.48062,0.26662,1.65759,2.44192,1.60791,0.000825332,0.000825332,0.000825332
53,3345.17,1.05642,0.936,1.18928,0.39315,0.5875,0.5193,0.30664,1.71342,2.26545,1.75309,0.000808828,0.000808828,0.000808828
54,3390.89,1.04754,0.91985,1.16809,0.6856,0.55751,0.62897,0.45154,1.51072,2.07313,1.60191,0.000792325,0.000792325,0.000792325
55,3431.67,1.02442,0.89244,1.14487,0.60294,0.71875,0.68076,0.45208,1.50718,1.97582,1.61999,0.000775822,0.000775822,0.000775822
56,3472.73,0.98662,0.85306,1.12611,0.84356,0.62463,0.71585,0.45481,1.50975,2.08221,1.56126,0.000759318,0.000759318,0.000759318
57,3511.91,0.98847,0.83418,1.1335,0.78724,0.5875,0.66429,0.4353,1.58026,1.8193,1.72395,0.000742815,0.000742815,0.000742815
58,3550.84,0.97984,0.81643,1.13541,0.80345,0.51771,0.63582,0.39648,1.72373,2.0704,1.79975,0.000726312,0.000726312,0.000726312
59,3592.12,0.96636,0.78103,1.10789,0.50133,0.6608,0.5818,0.36408,1.65511,2.20393,1.74466,0.000709809,0.000709809,0.000709809
60,3630.06,0.94702,0.7961,1.10313,0.76729,0.6875,0.66674,0.35241,1.70863,2.18185,1.77752,0.000693305,0.000693305,0.000693305
61,3671.12,0.88519,0.72484,1.08789,0.78105,0.6498,0.69063,0.33109,1.64282,2.23197,1.70306,0.000676802,0.000676802,0.000676802
62,3711.5,0.96594,0.78348,1.11932,0.77951,0.61814,0.67803,0.3332,1.71939,2.46792,1.69697,0.000660299,0.000660299,0.000660299
63,3751.53,0.91936,0.75411,1.09053,0.66016,0.55868,0.62621,0.30355,1.85182,2.45461,1.82061,0.000643795,0.000643795,0.000643795
64,3792.3,0.99356,0.78262,1.12991,0.44253,0.705,0.50542,0.27655,1.77661,2.44348,1.76786,0.000627292,0.000627292,0.000627292
65,3829.28,0.96737,0.78713,1.12337,0.66512,0.51115,0.57334,0.35372,1.74545,2.25303,1.76241,0.000610789,0.000610789,0.000610789
66,3869.48,0.90796,0.74176,1.07335,0.81511,0.52479,0.68445,0.421,1.74904,1.83274,1.80391,0.000594286,0.000594286,0.000594286
67,3909.58,0.90603,0.7274,1.07701,0.6543,0.625,0.72183,0.42098,1.67127,1.81203,1.72353,0.000577782,0.000577782,0.000577782
68,3946.81,0.91538,0.73475,1.09203,0.65918,0.625,0.69831,0.44218,1.53916,1.86537,1.58935,0.000561279,0.000561279,0.000561279
69,3987.9,0.92004,0.73921,1.08474,0.85064,0.525,0.63196,0.41838,1.56949,2.04391,1.59527,0.000544776,0.000544776,0.000544776
70,4025.94,0.87579,0.69929,1.06963,0.84357,0.55625,0.64934,0.40631,1.58301,2.24457,1.63369,0.000528272,0.000528272,0.000528272
71,4064.21,0.87929,0.68899,1.05733,0.74089,0.55507,0.63447,0.39116,1.59498,2.0718,1.62899,0.000511769,0.000511769,0.000511769
72,4104.49,0.8664,0.66757,1.05157,0.7079,0.52721,0.62829,0.37084,1.57481,2.07331,1.60091,0.000495266,0.000495266,0.000495266
